Compound_ID,structure,tPSA,CLogP,text
HW181084,CNS(=O)(=O)C1=CC=C(NC2=CN=C(OC(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,104.62,4.70308,"MCF-7 IC50 (nM)=65.88(42.64), 50.28(19.47)
H226 IC50(nM)=76.06(21.48)
AUC0-t(h*ng/ml= 33512.98(mou)"
HW181091,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OCC3=N2)=C1,95.39,2.80234,"MCF-7 IC50 (nM)=428.24(19.47)
H226 IC50(nM)=35.52(12.40)"
HW181090,CNS(=O)(=O)C1=CC=C(NC2=CC=C(C(F)(F)F)C=C2)C(C2=NN3CCOCC3=C2)=C1,83.03,3.39111,"H226  IC50 (nM)=5.354(6.043)
AUC(0-(h*ng/mL)=39177(mouse)
6750(rat)"
HW181092,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=NN3CC(C)(C)OC3=C2)=C1,95.39,4.22056,
HW181093,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C(F)(F)F)OC3=N2)=C1,95.39,4.33676,
HW181094,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=NN3CC(C(F)(F)F)OC3=C2)=C1,95.39,4.22556,
"HW181095
MCF-7 IC50 > 10uM",CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=NN3CC(F)CC3=C2)=C1,86.16,3.26014,
HW181097,CC1(C2=NN=C(C3=C(NC4=CC=C(C(F)(F)F)S4)N=CC=C3)O2)CCNC1=O,87.44,1.42987,
HW181096,CNS(=O)(=O)C1=CC=C(NC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C=N2)=C1,73.8,4.07251,
HW181098,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CCOC3=N2)=C1,95.39,3.29376,"MCF-7 IC50 (nM)=166.44(19.47)
H226 IC50(nM)=25.51(12.40)"
HW181100,O=C(NCC1=NC=NC=C1)C1=CC=C2C(=C1)C1=C(N=C3CCCN31)N2C1=CC=C(C(F)(F)F)C=C1,72.66,3.92169,
HW181101,CN1C=NC(C2=CC(C(=O)O)=CC=C2NC2=CC=C(S(F)(F)(F)(F)F)C=C2)=C1,64.93,4.8711,"MCF-7 IC50 (nM)=426.89(19.47)
H226 IC50(nM)=29.01(12.40)"
HW181099,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CCOCC3=N2)=C1,95.39,2.28334,
HW181102,CN1C=NC(C2=CC(C(=O)NCC3=CC=CC=N3)=CC=C2NC2=CC=C(S(F)(F)(F)(F)F)C=C2)=C1,69.09,4.3854,"MCF-7 IC50 (nM)=898.67(14.94)
H226 IC50 (nM)=26.66(6.22)"
HW181103,CNS(=O)(=O)C1=CC=C(NC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,83.03,4.73938,"MCF-7 IC50 (nM)=18.57(14.94)
H226 IC50 (nM)=13.01(6.22)
AUC0-t(h*ng/ml=29424(mou), 12293.72(rat)
Fu (%) H/R/Mou/D/Mon= 0.364/0.413/0.195/0.735/0.431
pKa1 = 3.59,pKa2 = 11.64
Solubility(ug/ml):2.94/FaSSGF (pH 1.6);
21.88/FaSSIF (pH 6.5); 0.00025/PBS (pH 7.4)"
HW181105,CC1(N2C=C3C(=N2)C2=C(N=CC=C2)N3C2=CC=C(C(F)(F)F)C=C2)CCNC1=O,,,
HW181107,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C(F)(F)F)CC3=N2)=C1,86.16,3.46034,"MCF-7 IC50 (nM)=49.86(14.94)
H226 IC50 (nM)=48.25(6.22)"
HW181104,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(F)(F)CC3=N2)=C1,86.16,3.60334,
HW181106,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C(F)F)OC3=N2)=C1,95.39,3.85876,
HW181111,CN(C#N)CCC1=NN=C(C2=C(NC3=CC=C(OC(F)(F)CL)C=C3)N=CC=C2)O1,,,"MCF-7 IC50 (nM)=27.23(31.61)
H226  IC50 (nM)=13(10.29)(66% inhi)"
HW181112,CNS(=O)(=O)C1=CC=C(NC2=CN=C(OC(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,104.62,4.70308,"MCF-7 IC50 (nM)=36.85(31.61)
H226  IC50 (nM)=24.15(10.29)
AUC0-t(h*ng/ml=31384.6(mou)
12404.4(Rat)
Fu (%) H/R/Mou/D/Mon= 1.38/1.73/1.64/1.02/1.92"
HW181109,CC1(C2=NN=C(C3=C(NC4=CC=C(OC(F)(F)CL)C=C4)N=CC=N3)O2)CCNC1=O,,,"MCF-7 IC50 (nM)=15.35(31.61)
H226  IC50 (nM)=13(10.29)
AUC0-t(h*ng/ml=54121.8(mou, 10mpk)"
HW181110,CN(C#N)CC1=NN=C(C2=C(NC3=CC=C(OC(F)(F)CL)C=C3)N=CC=C2)O1,,,"MCF-7 IC50 (nM)=94.22(31.61)
H226  IC50 (nM)=26.91(10.29)"
HW181113,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(OC)CC3=N2)=C1,95.39,2.76564,
HW181108,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C(F)F)CC3=N2)=C1,86.16,2.98234,MCF-7 IC50 (nM)=343.23(31.61)
HW181119,CC1(C2=NN=C(C3=C(NC4=CC=C(OC(F)(F)CL)C=C4)N=CC=N3)O2)CCNC1=O,109.03,1.7443,"H226  IC50 (nM)=8.575(6.043)
MCF-7 IC50 (nM)=31.03(48.02)
AUC0-t(h*ng/ml=79503.4(mou)
25113.88(Rat), 8875(dog)
Fu (%) H/R/Mou/D/Mon=0.6/0.61/2.99/0.51/1.14
hERG IC50=1.78 uM"
HW181115,O=C(O)C1=CC=C2C(=C1)C1=C(N=C3CCCN31)N2C1=CC=C(C(F)(F)F)C=C1,56.14,5.31801,"MCF-7 IC50 (nM)=145.49(31.61)
H226  IC50 (nM)=30.19(10.29)"
HW181114,CC(NC(=O)C1=NC=C(NC2=CC=C(C(F)(F)F)C=C2)C=N1)C1=NC=CC=C1,,,"MCF-7 IC50 (nM)>15000(31.61)
H226  IC50 (nM)>10000(10.29)"
HW181117,O=C1NCC2CC12C1=NN=C(C2=C(NC3=C[C-]=C(OC(F)(F)CL)C=C3)N=CC=C2)O1,96.67,1.24157,H226  IC50 (nM)=190(6.043)
HW181118,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=C(C)N3CCCC3=N2)=C1,,,"H226  IC50 (nM)=34.96(6.043)
MCF-7 IC50 (nM)=405.83(48.02)"
HW181116,O=C1NCCC1(CF)C1=NN=C(C2=C(NC3=CC=C(OC(F)(F)CL)C=C3)N=CC=C2)O1,,,
HW181125,CNS(=O)(=O)C1=CN=C(OC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C=N2)=C1,83.36,3.33695,"H226  IC50 (nM)=19.65(6.043)
MCF-7 IC50 (nM)=547.22(48.02),69.87(34.6),49.4(36.9)
AUC0-t(h*ng/ml=17336(mou)
20613(rat,10mpk), 128649(rat,100mpk),
171121(rat,200mpk),20790(dog,5mpk),58638(dog,25mpk)
Fu (%) H/R/Mou/D/Mon= 0.766/1.40/1.26/0.886/1.68
Solubility(ug/ml):445.79/FaSSGF (pH 1.6); 9.25/FaSSIF (pH 6.5); <0.043/PBS (pH 7.4)
pKa1 = 4.29,pKa2 = 10.68
hERG IC50= 2.03 uM"
HW181122,CC1(C2=NN=C(C3=C(NC4=CC=C(C(F)(F)F)C=C4)N=CC=C3)O2)C(=O)NCC12CC2,87.44,2.07258,
HW181120,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=C(C)N3CC(C)OC3=N2)=C1,95.39,3.78176,H226  IC50 (nM)=100.1(6.043)
HW181121,CNS(=O)(=O)C1=CC=C(NC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CCOCC3=N2)=C1,83.03,3.21023,"H226  IC50 (nM)=7.932(6.043)
MCF-7 IC50 (nM)=26.03(48.02)
Solubility(ug/ml):36.48/FaSSGF (pH 1.6); 10.86/FaSSIF (pH 6.5); <0.000058/PBS (pH 7.4)"
HW181123,CNS(=O)(=O)C1=CN=C(OC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,92.59,3.76639,"MCF-7 IC50 (nM)=147.65(34.6), Top=76.98%
H226 IC50 (nM)=46(7.9), Top=81.8%"
HW181124,CNS(=O)(=O)C1=CC=C(SC2=NC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,83.36,4.31719,
HW181131,CN1C=NC(C2=CC(S(=O)(=O)NCCO)=CC=C2NC2=CC=C(S(F)(F)(F)(F)F)C=C2)=C1,94.03,3.499,"MCF-7 IC50 (nM)=326(39.35), Top=74%
H226 IC50 (nM)=143(36.6), Top=50%"
HW181132,CNS(=O)(=O)C1=CN=C(NC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,,,"MCF-7 IC50 (nM)=813(34.6), Top=82%
H226 IC50 (nM)=67.7(7.9), Top=74%"
HW181129,CN1C=NC(C2=CC(CC(=O)O)=CC=C2NC2=CC=C(S(F)(F)(F)(F)F)C=C2)=C1,64.93,4.1192,"MCF-7 IC50 (nM)=472(36.9)
H226 IC50 (nM)=314(13.8), Top=59.8%"
HW181128,CNS(=O)(=O)C1=CC=C(NC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C(C(C)(C)O)=N2)=C1,94.03,3.74251,"MCF-7 IC50 (nM)=680.48(34.6), Top=86%
H226 IC50 (nM)=79(7.9), Top=74.4%"
HW181130,CN1C=NC(C2=CC(S(=O)(=O)NC3COC3)=CC=C2NC2=CC=C(S(F)(F)(F)(F)F)C=C2)=C1,83.03,4.1996,"MCF-7 IC50 (nM)=894(34.6), Top=94%
H226 IC50 (nM)=487.6(7.9), Top=71.4%"
HW181127,C=C(F)C(=O)NC12CC(N3N=C(C4=CC=C(C(F)(F)F)C=C4)C4=C3N=CC=C4)(C1)C2,,,
HW181137,CNS(=O)(=O)C1=CN=C(OC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(CCOC)C=N2)=C1,92.59,3.26425,"MCF-7 IC50 (nM)=80.7(35.3),Top=63%
H226 IC50 (nM)=47(9.5), Top=83%
AUC0-t(h*ng/ml=1366(mou)"
HW181140,CNS(=O)(=O)C1=CN=C(OC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C=N2)=C1,83.36,3.33695,
HW181139,CNS(=O)(=O)C1=CN=C(OC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C=N2)=C1,83.36,3.33695,
HW181136,CNS(=O)(=O)C1=CN=C(NCC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C=N2)=C1,86.16,3.79894,"MCF-7 IC50=1.3 uM
H226 IC50 (nM)=202(9.5), Top=64%"
HW181138,CNS(=O)(=O)C1=CN=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,95.39,4.2289,"MCF-7 IC50 (nM)=823(36.9),Top=92%
H226 IC50 (nM)=110(13.8), Top=62%
Solubility(ug/ml):34.71/FaSSGF (pH 1.6); 
16.15/FaSSIF (pH 6.5); 0.05/PBS (pH 7.4)"
HW181134,CNS(=O)(=O)C1=CC=C(NC2=NC=C(C(F)(F)F)C=C2)C(C2=NN3CCOCC3=C2)=C1,95.39,2.47314,
HW181146,CNS(=O)(=O)C1=CN=C(NCC23CC(CO2)C3)C(C2=CN(C)C=N2)=C1,95.39,1.20542,MCF-7 IC50 =41.3 uM
HW181145,CNS(=O)(=O)C1=CN=C(NC2CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=C1,86.16,1.73202,"MCF-7 IC50 (nM)=316(36.9),Top=74%
H226 IC50 (nM)=88(13.8), Top=74%
hERG IC50=5.49 uM
AUC0-t(h*ng/ml=21424(mouF=73.6%)
Solubility(ug/ml):753.5/FaSSGF (pH 1.6); 
20.55/FaSSIF (pH 6.5); 2.89/PBS (pH 7.4)"
HW181142,CNS(=O)(=O)C1=CN=C(OCC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C=N2)=C1,83.36,3.39688,"MCF-7 IC50 (nM)=4172(36.9)
H226 IC50 (nM)=2619(13.8)"
HW181141,O=C(O)CC(O)(CC(=O)O)C(=O)O,,,
HW181144,CNS(=O)(=O)C1=CN=C(NCC2CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=C1,86.16,2.35102,"MCF-7 IC50 (nM)=116(35.3),Top=80%
H226 IC50 (nM)=23(9.5), Top=78%
AUC0-t(h*ng/ml=3173(mou, F=29.5%)
% of CYP inhibition(2C9/2D6/3A4M/3A4T,
 10uM)= 10.4/16/-18/48
Fu (%) H/R/Mou/D/Mon= 4/2.99/6.3/3.66/5.94
hERG IC50>30 uM
Solubility(ug/ml):803.57/FaSSGF (pH 1.6);
 12.76/FaSSIF (pH 6.5); 1.57/PBS (pH 7.4)"
HW181143,CNS(=O)(=O)C1=CN=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN(C)C=N2)=N1,98.52,3.32354,"MCF-7 IC50 (nM)=145(35.3),Top=69%
H226 IC50 (nM)=14.2(9.5), Top=63%;
                          40.8(180002:30.4)
AUC0-t(h*ng/ml=29231(mou),8557(Rat)
hERG IC50=9.6 uM
% of CYP inhibition(2C9/2D6/3A4M/3A4T,
 10uM)= 13.6/2.8/-5/19.5
Fu (%) H/R/Mou/D= 0.95/1.34/3.1/0.62
Solubility(ug/ml):25.06/FaSSGF (pH 1.6); 
6.63/FaSSIF (pH 6.5); 0.075/PBS (pH 7.4)"
HW181147,CNS(=O)(=O)C1=CN=C(NCC2=CC=CC(S(F)(F)(F)(F)F)=C2)C(C2=CN(C)C=N2)=C1,86.16,3.79894,"MCF-7 IC50 (nM)=182(35.3),Top=77%
H226 IC50 (nM)=104(9.5), Top=76%"
HW181151,CNS(=O)(=O)C1=CC=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,83.03,4.11988,"MCF-7 IC50 (nM)=39.6(35.3),Top=67%
H226 IC50 (nM)=28.8(9.5), Top=70%
AUC0-t(h*ng/ml)=1619(mou)"
HW181149,CNS(=O)(=O)C1=CN=C(OCC2=CC=CC(S(F)(F)(F)(F)F)=C2)C(C2=CN(C)C=N2)=C1,83.36,3.39688,MCF-7 IC50 (nM)=1526(39.35)
HW181152,CNS(=O)(=O)C1=CN=C(NCC2CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=C1,86.16,2.35102,"MCF-7 IC50 (nM)=96(39.35),
Top=67%
H226 IC50 (nM)=71.6(36.6), Top=70.5%
AUC0-t(h*ng/ml=386(mou)"
HW181150,CC(=O)NS(=O)(=O)C1=CN=C(OC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C=N2)=C1,100.43,2.19364,MCF-7 IC50 >10 uM
HW181148,CNS(=O)(=O)C1=CN=C(NCC2=CC=CC(C(F)(F)F)=C2)C(C2=CN3CC(C)OC3=N2)=C1,95.39,4.2289,"MCF-7 IC50 (nM)=124(35.3),Top=63%
H226 IC50 (nM)=74.5(9.5), Top=71%"
HW181153,CNS(=O)(=O)C1=CN=C(NC2CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=C1,86.16,1.73202,"MCF-7 IC50 (nM)=221(39.35), Top=66%
H226 IC50 (nM)=212(36.6), Top=73%"
HW181155,CNS(=O)(=O)C1=CN=C(OC2CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=C1,83.36,1.40887,MCF-7 IC50 > 10 uM
HW181154,CNS(=O)(=O)C1=CN=C(OC2CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=C1,83.36,1.40887,MCF-7 IC50 > 10 uM
HW181157,CNS(=O)(=O)C1=CN=C(OC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CCCC3=N2)=N1,95.72,2.86556,
HW181156,CNS(=O)(=O)C1=CN=C(NCC2=CC=CC(C(F)(F)F)=C2)C(C2=CN3CCCC3=N2)=N1,98.52,3.60754,"H226 IC50 (nM)=25.8(23.8)
hERG IC50=4.84 uM"
HW181158,CNS(=O)(=O)C1=CN=C(NC2CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=N1,,1.60592,H226 IC50 (nM)=461(21)
HW181164,CNS(=O)(=O)C1=CC=C(OC2CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=C1,71,1.30697,MCF-7 IC50 > 10 uM
HW181163,CNS(=O)(=O)C1=CC=C(OC2CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=C1,71,1.30697,MCF-7 IC50 > 10 uM
HW181162,CNS(=O)(=O)C1=CC=C(NC2CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=C1,73.8,1.6266,"MCF-7 IC50 (nM)=107.7(39.8),Top=88.5%
hERG IC50=3.7 uM"
HW181161,[H]C12CC(F)(F)CC1([H])C2NC1=NC=C(S(=O)(=O)NC)C=C1C1=CN(C)C=N1,86.16,1.73202,H226 IC50 (nM)=190.2(23.8)
HW181160,[H]C12CC(F)(F)CC1([H])C2CNC1=NC=C(S(=O)(=O)NC)C=C1C1=CN(C)C=N1,86.16,2.35102,"MCF-7 IC50 (nM)=184(39.8),Top=79.7%
H226 IC50 (nM)=132.5(23.8)"
HW181159,CNS(=O)(=O)C1=CN=C(OCC2CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=C1,83.36,2.02787,MCF-7 IC50 = 5.5 uM
HW181170,CNS(=O)(=O)C1=CC=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CCN(C)CC3=N2)=C1,77.04,3.27201,
HW181165,CNS(=O)(=O)C1=CN=C(NCC2(F)CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=C1,86.16,2.19402,
HW181169,CNS(=O)(=O)C1=CC=C(NCC2=CC=C3OC(F)(F)OC3=C2)C(C2=CN(C)C=N2)=C1,92.26,4.00951,H226 IC50 (nM)=818.5(23.8)
HW181168,CNS(=O)(=O)C1=CC=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CCOCC3=N2)=C1,83.03,2.59151,"MCF-7 IC50 (nM)=112(39.8),Top=46%
H226 IC50 (nM)=104.6(23.8),Top=52%;
66.2((24.8),Top=40%"
HW181166,CNS(=O)(=O)C1=CC=C(NC2CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=N1,86.16,2.04202,
HW181167,CNS(=O)(=O)C1=CC=C(OC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C=N2)=N1,83.36,3.64695,
HW181171,CNS(=O)(=O)C1=CC=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=N1,95.39,4.5389,"MCF-7 IC50 (nM)=106(49.2),Top=92%
hERG IC50=1.23 uM"
HW181173,CNS(=O)(=O)C1=CC=C(CNC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,83.03,3.90862,H226 IC50 (nM)=496(180002:25)
HW181172,CNS(=O)(=O)C1=CN=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=N1,107.75,4.10385,"H226 IC50 (nM)=403.9(24.8),Top=46%
177(21),Top=69%"
HW181175,[H]C12CC(F)(F)CC1([H])C2([H])C(C)NC1=NC=C(S(=O)(=O)NC)C=C1C1=CN(C)C=N1,86.16,2.66002,
HW181176,CC1(C2=NN=C(C3=C(NCC4=CC=C(C(F)(F)F)C=C4)N=CC=N3)O2)CCNC1=O,99.8,0.77555,"H226 IC50 (nM)=224(24.8),Top=54%"
HW181174,[H]C1(C(C)NC2=NC=C(S(=O)(=O)NC)C=C2C2=CN(C)C=N2)CC2C(C1)C2(F)F,86.16,2.66002,"H226 IC50 (nM)=362(24.8),Top=62%"
HW181178,CNS(=O)(=O)C1=CC=C(NCC23CCCC2C3)C(C2=CN(C)C=N2)=C1,73.8,2.8596,
HW181177,CNS(=O)(=O)C1=CC=C(NC23CCCC2C3)C(C2=CN(C)C=N2)=C1,73.8,2.2406,
HW181180,CNS(=O)(=O)C1=CC=C(NCC23CCCCC2C3)C(C2=CN(C)C=N2)=C1,73.8,3.41551,
HW181179,CNS(=O)(=O)C1=CC=C(NC23CCCCC2C3)C(C2=CN(C)C=N2)=C1,73.8,2.79651,
HW181181-P2,CNS(=O)(=O)C1=CC=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CC4CC4C3=N2)=C1,73.8,3.38051,"H226 IC50 (nM)=88(180002:25),Top=60%
MCF-7 IC50 (nM)=85.5(49.2),Top=68%
hERG IC50>3 uM"
HW181181-P1,CNS(=O)(=O)C1=CC=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CC4CC4C3=N2)=C1,73.8,3.38051,"H226 IC50 (nM)=158(180002:25),Top=55%"
HW181184,CNS(=O)(=O)C1=CN=C(OC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C(F)F)C=N2)=C1,83.36,3.63295,H226 IC50 (nM)=415(180002:25)
HW181182,CNS(=O)(=O)C1=CN=C(NCC2=CC=CC(C(F)F)=C2)C(C2=CN(C)C=N2)=N1,98.52,2.63554,H226 IC50 (nM)=444(21)
HW181186,C=C(F)C(=O)N1CC(N2N=C(C3=C(F)C=C(SC(F)(F)F)C=C3)C3=C2N=CC=C3)C1,48.27,4.90806,
HW181185,CNS(=O)(=O)C1=CN=C(NCC2=CC=C(F)C(C(F)F)=C2)C(C2=CN(C)C=N2)=N1,98.52,2.77854,H226 IC50 (nM)=183(180002:25)
HW181183,CNS(=O)(=O)C1=CN=C(NCC2=CC=CC(C(F)(F)F)=C2)C(C2=CN(C)C=N2)=N1,98.52,3.32354,"H226 IC50 (nM)=47.5(21)
hERG IC50=2.1 uM"
HW181187,CNS(=O)(=O)C1=CN=C(OC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(CC(F)F)C=N2)=C1,83.36,3.91195,H226 IC50 (nM)=306(180002:25)
HW181189,CNS(=O)(=O)C1=CC(F)=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,83.03,4.28755,"H226 IC50 (nM)=40(180002:25),Top=57%
MCF-7 IC50 (nM)=88.8(49.2),Top=99.6%
hERG IC50 = 5.4uM
AUC0-t(h*ng/ml)=3267(mou)"
HW181190,CNS(=O)(=O)C1=C(F)C=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1,83.03,4.28755,H226 IC50 (nM)=135(180002:25)
HW181188,CNS(=O)(=O)C1=CC=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN3CC(C)OC3=N2)=C1F,83.03,4.28755,"H226 IC50 (nM)=82(180002:25),Top=47%
MCF-7 IC50 (nM)=103(49.2),Top=57%"
HW181191,CNS(=O)(=O)C1=CN=C(OC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(CCS(C)(=O)=O)C=N2)=C1,117.5,2.11555,H226 IC50>10uM
HW181193,[H]C12CCC(F)(F)C1([H])C2CNC1=NC=C(S(=O)(=O)NC)C=C1C1=CN(C)C=N1,86.16,2.35102,"H226 IC50 (nM)=110(180002:47.3)
AUC0-t(h*ng/ml)=529(mou)"
HW181192,CNS(=O)(=O)C1=CN=C(NCC2(C)CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=C1,86.16,2.87002,"H226 IC50 (nM)=26(180002:32),Top=35%
29(180002:30),Top=43%"
HW181197,CNS(=O)(=O)N1C=C(NC2=CC=C(C(F)(F)F)C=C2)C(C2=CN(C)C=N2)=N1,89.4,2.42962,
HW181196,CNS(=O)(=O)N1C=C(C2=CN(C)C=N2)C(NC2=CC=C(C(F)(F)F)C=C2)=N1,89.4,2.21962,H226 IC50>10uM
HW181194,[H]C([H])([H])NS(=O)(=O)C1=CN=C(OC2=CC=C(S(F)(F)(F)(F)F)C=C2)C(C2=CN(C)C=N2)=C1,83.36,2.65595,"H226 IC50 (nM)=49.3(180002:47.3)
AUC0-t(h*ng/ml)=16672(mou)"
HW181199,CCNC(=O)C1=NN(C2=CC=C(C(F)(F)F)C=C2)C2=CC=C(C(=O)O)C=C21,82,3.99086,H226 IC50=1.8uM
HW181198,CCNC(=O)C1=NN(C2=CC=C(C(F)(F)F)C=C2)C2=CC=C(S(=O)(=O)NC)C=C21,90.87,3.09175,H226 IC50=308nM
HW181195,CNS(=O)(=O)C1=CC=C(NCC2=CC=C(C(F)(F)F)C=C2)C(C2=CN(CC3=CC=C[N+]([O-])=C3)C=N2)=C1,,,H226 IC50=8.1uM
HW182006,O=C(O)C1=CC=C2C(=C1)C(C(=O)NCC1=CC=CN=N1)=CN2C1=CC=C(C(F)(F)F)C=C1,94.36,3.74409,
HW182002,CNS(=O)(=O)C1=CC=C2C(=C1)C(C)=NN2CC1=CC=C(C(F)(F)F)C=C1,61.77,3.97504,H226 IC50 (nM)=3397
HW182005,CNS(=O)(=O)C1=CC=C2C(=C1)C(C(=O)NCC1=CC=CN=N1)=CN2CC1=CC=C(C(F)(F)F)C=C1,103.23,2.24091,
HW182004,CNS(=O)(=O)C1=CC=C2C(=C1)C(C(=O)NCC1=CC=CN=N1)=CN2C1=CC=C(C(F)(F)F)C=C1,103.23,2.8867,H226 IC50=8.7uM
HW182001,CNS(=O)(=O)C1=CC=C(NCC2=CC=C(C(F)(F)F)C=C2)C2=NN(C)C=C12,73.8,2.87134,H226 IC50 (nM)=8354
HW182003,CNS(=O)(=O)C1=C2C=NN(C)C2=C(NCC2=CC=C(C(F)(F)F)C=C2)C=C1,,,
HW183001,C=CC(=O)NCC1=NN(C2=CC=C(SC(F)(F)F)C=C2)C2=C1C(C(O)CO)=CC=N2,97.52,1.23299,"H226 IC50 (nM)=15.3(180002:30.4),Top=83%
P1:H226 IC50 (nM)=49.6(180002:30.5)
P1:H226 IC50 (nM)=46.6(180002:30.5)
MMS(T1/2 min)H/R/Mou/D/Mon
210/253/163/859/32
AUC0-t(h*ng/ml)=5169(mou)
hERG IC50 =2uM
Solubility(ug/ml):0.47/FaSSGF (pH 1.6); 
5.43/FaSSIF (pH 6.5); 0.29/PBS (pH 7.4)"
HW181200,CNS(=O)(=O)C1=CN=C(NCC2(C(F)(F)F)CC3C(C2)C3(F)F)C(C2=CN(C)C=N2)=C1,86.16,2.49402,
HW183004,C=C(F)C(=O)N1CC(N2C(=O)N(C3=CC=C(SC(F)(F)F)C=C3)C3=C2C(C(O)CO)=CC=C3)C1,84.32,3.7938,
HW183002,C=C(F)C(=O)N1CC(C2=NN(C3=CC=C(SC(F)(F)F)C=C3)C3=C2C(C(O)CO)=CC=N3)C1,88.73,1.83699,"H226 IC50 (nM)=25.7(180002:49.2),Top=79%"
HW183003,C=CC(=O)NCC1=NN(C2=CC=C(SC(F)(F)F)C=C2)C2=C1C(CO)=CC=N2,77.29,2.58619,"H226 IC50 (nM)=17(180002:49.2),Top=73%"
